iter	Passed	Remaining
739	23295	8185
740	23331	8154
741	23342	8116
742	23450	8111
743	23530	8096
744	23554	8062
745	23575	8027
746	23596	7991
747	23614	7955
748	23625	7917
749	23635	7878
750	23785	7886
751	23797	7848
752	23813	7811
753	23828	7774
754	24001	7788
755	24023	7753
756	24033	7714
757	24280	7751
758	24300	7715
759	24312	7677
760	24332	7641
761	24352	7606
762	24380	7572
763	24398	7536
764	24420	7501
765	24436	7464
766	24447	7426
767	24458	7388
768	24469	7350
769	24478	7311
770	24502	7277
771	24513	7239
772	24529	7203
773	24541	7165
774	24557	7129
775	24758	7146
776	24769	7108
777	24779	7070
778	24796	7034
779	24808	6997
780	24819	6959
781	24843	6925
782	24853	6887
783	24865	6850
784	24886	6816
785	24902	6780
786	24990	6763
787	25001	6726
788	25032	6694
789	25046	6657
790	25097	6631
791	25210	6620
792	25232	6586
793	25249	6550
794	25268	6515
795	25278	6478
796	25296	6443
797	25316	6408
798	25327	6371
799	25357	6339
800	25393	6308
801	25583	6316
802	25599	6280
803	25643	6251
804	25659	6215
805	25673	6179
806	25682	6142
807	25697	6106
808	25903	6115
809	25914	6078
810	25930	6043
811	25953	6009
812	26021	5985
813	26100	5964
814	26144	5934
815	26159	5898
816	26212	5871
817	26224	5834
818	26240	5799
819	26303	5774
820	26315	5737
821	26325	5700
822	26469	5692
823	26492	5658
824	26511	5623
825	26596	5602
826	26651	5575
827	26668	5539
828	26678	5503
829	26695	5467
830	26743	5438
831	26758	5403
832	26786	5370
833	26798	5333
834	26824	5300
835	26839	5265
836	26862	5231
837	26874	5195
838	26885	5159
839	26896	5123
840	26992	5103
841	27005	5067
842	27111	5049
843	27122	5013
844	27146	4979
845	27173	4946
846	27199	4913
847	27209	4877
848	27225	4842
849	27236	4806
850	27287	4777
851	27298	4741
852	27308	4706
853	27387	4682
854	27406	4647
855	27417	4612
856	27441	4578
857	27450	4543
858	27491	4512
859	27509	4478
860	27541	4446
861	27755	4443
862	27765	4407
863	27777	4372
864	27786	4336
865	27796	4301
866	27831	4269
867	28018	4260
868	28169	4246
869	28204	4214
870	28232	4181
871	28245	4146
872	28259	4111
873	28339	4085
874	28350	4050
875	28474	4030
876	28499	3997
877	28509	3961
878	28522	3926
879	28577	3896
880	28590	3861
881	28600	3826
882	28613	3791
883	28663	3761
884	28675	3726
885	28758	3700
886	28770	3665
887	28786	3630
888	28815	3597
889	28971	3580
890	28981	3545
891	28990	3510
892	29001	3475
893	29021	3441
894	29034	3406
895	29053	3372
896	29075	3338
897	29094	3304
898	29104	3269
899	29121	3235
900	29152	3203
901	29384	3192
902	29395	3157
903	29412	3123
904	29435	3089
905	29451	3055
906	29467	3021
907	29485	2987
908	29566	2959
909	29576	2925
910	29589	2890
911	29600	2856
912	29633	2823
913	29647	2789
914	29656	2754
915	29687	2722
916	29698	2688
917	29716	2654
918	29730	2620
919	29751	2587
920	29761	2552
921	29772	2518
922	29782	2484
923	29796	2450
924	29807	2416
925	29822	2383
926	29833	2349
927	29846	2315
928	29868	2282
929	29883	2249
930	29903	2216
931	29918	2182
932	29938	2149
933	29951	2116
934	29963	2083
935	30007	2051
936	30018	2018
937	30032	1985
938	30141	1958
939	30165	1925
940	30176	1892
941	30200	1859
942	30368	1835
943	30388	1802
944	30399	1769
945	30630	1748
946	30642	1714
947	30666	1682
948	30682	1648
949	30692	1615
950	30704	1582
951	30713	1548
952	30733	1515
953	30759	1483
954	30769	1449
955	30804	1417
956	30825	1385
957	30845	1352
958	30871	1319
959	30889	1287
960	30899	1253
961	30910	1220
962	30921	1188
963	30932	1155
964	30944	1122
965	30974	1090
966	30990	1057
967	31006	1025
968	31135	996
969	31165	963
970	31176	931
971	31199	898
972	31210	866
973	31231	833
974	31243	801
975	31265	768
976	31285	736
977	31300	704
978	31322	671
979	31340	639
